dim_1,dim_2,dim_3,dim_4,value
21,21,13,1,1.0
21,21,13,2,1.0
21,21,13,3,1.0
21,21,13,4,1.0
21,21,13,5,1.0
21,21,13,6,1.0
21,21,13,7,1.0
21,21,13,8,1.0
21,21,13,9,1.0
21,21,13,10,1.0
21,21,13,11,1.0
21,21,13,12,1.0
21,21,13,13,1.0
21,21,13,14,1.0
21,21,13,15,1.0
21,21,13,16,1.0
21,21,13,17,1.0
21,21,13,18,1.0
21,21,13,19,1.0
21,21,13,20,1.0
21,21,13,21,1.0
21,21,13,22,1.0
21,21,13,23,1.0
21,21,13,24,1.0
21,21,13,25,1.0
21,21,13,26,1.0
21,21,13,27,1.0
21,21,13,28,1.0
21,21,13,29,1.0
21,21,13,30,1.0
21,21,13,31,1.0
21,21,13,32,1.0
21,21,13,33,1.0
21,21,13,34,1.0
21,21,13,35,1.0
21,21,13,36,1.0
21,21,13,37,1.0
21,21,13,38,1.0
21,21,13,39,1.0
21,21,13,40,1.0
21,21,13,41,1.0
21,21,13,42,1.0
21,21,13,43,1.0
21,21,13,44,1.0
21,21,13,45,1.0
21,21,13,46,1.0
21,21,13,47,1.0
21,21,13,48,1.0
21,21,13,49,1.0
21,21,13,50,1.0
21,21,13,51,1.0
21,21,13,52,1.0
21,21,13,53,1.0
21,21,13,54,1.0
21,21,13,55,1.0
21,21,13,56,1.0
21,21,13,57,1.0
21,21,13,58,1.0
21,21,13,59,1.0
21,21,13,60,1.0
21,21,14,1,1.0
21,21,14,2,1.0
21,21,14,3,1.0
21,21,14,4,1.0
21,21,14,5,1.0
21,21,14,6,1.0
21,21,14,7,1.0
21,21,14,8,1.0
21,21,14,9,1.0
21,21,14,10,1.0
21,21,14,11,1.0
21,21,14,12,1.0
21,21,14,13,1.0
21,21,14,14,1.0
21,21,14,15,1.0
21,21,14,16,1.0
21,21,14,17,1.0
21,21,14,18,1.0
21,21,14,19,1.0
21,21,14,20,1.0
21,21,14,21,1.0
21,21,14,22,1.0
21,21,14,23,1.0
21,21,14,24,1.0
21,21,14,25,1.0
21,21,14,26,1.0
21,21,14,27,1.0
21,21,14,28,1.0
21,21,14,29,1.0
21,21,14,30,1.0
21,21,14,31,1.0
21,21,14,32,1.0
21,21,14,33,1.0
21,21,14,34,1.0
21,21,14,35,1.0
21,21,14,36,1.0
21,21,14,37,1.0
21,21,14,38,1.0
21,21,14,39,1.0
21,21,14,40,1.0
21,21,14,41,1.0
21,21,14,42,1.0
21,21,14,43,1.0
21,21,14,44,1.0
21,21,14,45,1.0
21,21,14,46,1.0
21,21,14,47,1.0
21,21,14,48,1.0
21,21,14,49,1.0
21,21,14,50,1.0
21,21,14,51,1.0
21,21,14,52,1.0
21,21,14,53,1.0
21,21,14,54,1.0
21,21,14,55,1.0
21,21,14,56,1.0
21,21,14,57,1.0
21,21,14,58,1.0
21,21,14,59,1.0
21,21,14,60,1.0
21,21,15,1,1.0
21,21,15,2,1.0
21,21,15,3,1.0
21,21,15,4,1.0
21,21,15,5,1.0
21,21,15,6,1.0
21,21,15,7,1.0
21,21,15,8,1.0
21,21,15,9,1.0
21,21,15,10,1.0
21,21,15,11,1.0
21,21,15,12,1.0
21,21,15,13,1.0
21,21,15,14,1.0
21,21,15,15,1.0
21,21,15,16,1.0
21,21,15,17,1.0
21,21,15,18,1.0
21,21,15,19,1.0
21,21,15,20,1.0
21,21,15,21,1.0
21,21,15,22,1.0
21,21,15,23,1.0
21,21,15,24,1.0
21,21,15,25,1.0
21,21,15,26,1.0
21,21,15,27,1.0
21,21,15,28,1.0
21,21,15,29,1.0
21,21,15,30,1.0
21,21,15,31,1.0
21,21,15,32,1.0
21,21,15,33,1.0
21,21,15,34,1.0
21,21,15,35,1.0
21,21,15,36,1.0
21,21,15,37,1.0
21,21,15,38,1.0
21,21,15,39,1.0
21,21,15,40,1.0
21,21,15,41,1.0
21,21,15,42,1.0
21,21,15,43,1.0
21,21,15,44,1.0
21,21,15,45,1.0
21,21,15,46,1.0
21,21,15,47,1.0
21,21,15,48,1.0
21,21,15,49,1.0
21,21,15,50,1.0
21,21,15,51,1.0
21,21,15,52,1.0
21,21,15,53,1.0
21,21,15,54,1.0
21,21,15,55,1.0
21,21,15,56,1.0
21,21,15,57,1.0
21,21,15,58,1.0
21,21,15,59,1.0
21,21,15,60,1.0
21,21,16,1,1.0
21,21,16,2,1.0
21,21,16,3,1.0
21,21,16,4,1.0
21,21,16,5,1.0
21,21,16,6,1.0
21,21,16,7,1.0
21,21,16,8,1.0
21,21,16,9,1.0
21,21,16,10,1.0
21,21,16,11,1.0
21,21,16,12,1.0
21,21,16,13,1.0
21,21,16,14,1.0
21,21,16,15,1.0
21,21,16,16,1.0
21,21,16,17,1.0
21,21,16,18,1.0
21,21,16,19,1.0
21,21,16,20,1.0
21,21,16,21,1.0
21,21,16,22,1.0
21,21,16,23,1.0
21,21,16,24,1.0
21,21,16,25,1.0
21,21,16,26,1.0
21,21,16,27,1.0
21,21,16,28,1.0
21,21,16,29,1.0
21,21,16,30,1.0
21,21,16,31,1.0
21,21,16,32,1.0
21,21,16,33,1.0
21,21,16,34,1.0
21,21,16,35,1.0
21,21,16,36,1.0
21,21,16,37,1.0
21,21,16,38,1.0
21,21,16,39,1.0
21,21,16,40,1.0
21,21,16,41,1.0
21,21,16,42,1.0
21,21,16,43,1.0
21,21,16,44,1.0
21,21,16,45,1.0
21,21,16,46,1.0
21,21,16,47,1.0
21,21,16,48,1.0
21,21,16,49,1.0
21,21,16,50,1.0
21,21,16,51,1.0
21,21,16,52,1.0
21,21,16,53,1.0
21,21,16,54,1.0
21,21,16,55,1.0
21,21,16,56,1.0
21,21,16,57,1.0
21,21,16,58,1.0
21,21,16,59,1.0
21,21,16,60,1.0
21,21,17,1,1.0
21,21,17,2,1.0
21,21,17,3,1.0
21,21,17,4,1.0
21,21,17,5,1.0
21,21,17,6,1.0
21,21,17,7,1.0
21,21,17,8,1.0
21,21,17,9,1.0
21,21,17,10,1.0
21,21,17,11,1.0
21,21,17,12,1.0
21,21,17,13,1.0
21,21,17,14,1.0
21,21,17,15,1.0
21,21,17,16,1.0
21,21,17,17,1.0
21,21,17,18,1.0
21,21,17,19,1.0
21,21,17,20,1.0
21,21,17,21,1.0
21,21,17,22,1.0
21,21,17,23,1.0
21,21,17,24,1.0
21,21,17,25,1.0
21,21,17,26,1.0
21,21,17,27,1.0
21,21,17,28,1.0
21,21,17,29,1.0
21,21,17,30,1.0
21,21,17,31,1.0
21,21,17,32,1.0
21,21,17,33,1.0
21,21,17,34,1.0
21,21,17,35,1.0
21,21,17,36,1.0
21,21,17,37,1.0
21,21,17,38,1.0
21,21,17,39,1.0
21,21,17,40,1.0
21,21,17,41,1.0
21,21,17,42,1.0
21,21,17,43,1.0
21,21,17,44,1.0
21,21,17,45,1.0
21,21,17,46,1.0
21,21,17,47,1.0
21,21,17,48,1.0
21,21,17,49,1.0
21,21,17,50,1.0
21,21,17,51,1.0
21,21,17,52,1.0
21,21,17,53,1.0
21,21,17,54,1.0
21,21,17,55,1.0
21,21,17,56,1.0
21,21,17,57,1.0
21,21,17,58,1.0
21,21,17,59,1.0
21,21,17,60,1.0
21,21,18,1,1.0
21,21,18,2,1.0
21,21,18,3,1.0
21,21,18,4,1.0
21,21,18,5,1.0
21,21,18,6,1.0
21,21,18,7,1.0
21,21,18,8,1.0
21,21,18,9,1.0
21,21,18,10,1.0
21,21,18,11,1.0
21,21,18,12,1.0
21,21,18,13,1.0
21,21,18,14,1.0
21,21,18,15,1.0
21,21,18,16,1.0
21,21,18,17,1.0
21,21,18,18,1.0
21,21,18,19,1.0
21,21,18,20,1.0
21,21,18,21,1.0
21,21,18,22,1.0
21,21,18,23,1.0
21,21,18,24,1.0
21,21,18,25,1.0
21,21,18,26,1.0
21,21,18,27,1.0
21,21,18,28,1.0
21,21,18,29,1.0
21,21,18,30,1.0
21,21,18,31,1.0
21,21,18,32,1.0
21,21,18,33,1.0
21,21,18,34,1.0
21,21,18,35,1.0
21,21,18,36,1.0
21,21,18,37,1.0
21,21,18,38,1.0
21,21,18,39,1.0
21,21,18,40,1.0
21,21,18,41,1.0
21,21,18,42,1.0
21,21,18,43,1.0
21,21,18,44,1.0
21,21,18,45,1.0
21,21,18,46,1.0
21,21,18,47,1.0
21,21,18,48,1.0
21,21,18,49,1.0
21,21,18,50,1.0
21,21,18,51,1.0
21,21,18,52,1.0
21,21,18,53,1.0
21,21,18,54,1.0
21,21,18,55,1.0
21,21,18,56,1.0
21,21,18,57,1.0
21,21,18,58,1.0
21,21,18,59,1.0
21,21,18,60,1.0
21,29,1,15,1.0
21,29,11,20,1.0
22,22,1,1,1.0
22,22,1,2,1.0
